,# of training points,alpha,neural net architecture,RMSE,mean absolute error,max absolute error
0,54636,15.0,"[2, 20, 20, 1]",0.451,0.340,0.984
1,9878,20.0,"[2, 30, 30, 1]",0.173,0.133,0.380
2,54636,20.0,"[2, 20, 1]",0.484,0.372,0.979
3,956,15.0,"[2, 20, 20, 1]",0.269,0.196,0.556
4,4224,15.0,"[2, 30, 1]",0.163,0.128,0.354
5,54636,10.0,"[2, 20, 1]",0.047,0.035,0.177
6,9878,10.0,"[2, 30, 1]",0.213,0.164,0.445
7,4224,10.0,"[2, 20, 20, 1]",0.037,0.023,0.172
8,54636,15.0,"[2, 30, 1]",0.483,0.369,0.985
9,956,20.0,"[2, 20, 1]",0.135,0.098,0.331
10,17255,10.0,"[2, 20, 1]",0.032,0.023,0.130
11,31547,20.0,"[2, 30, 1]",0.473,0.362,0.974
12,17255,15.0,"[2, 20, 20, 1]",0.488,0.375,0.986
13,31547,20.0,"[2, 20, 1]",0.045,0.034,0.180
14,31547,15.0,"[2, 30, 30, 1]",0.492,0.380,0.991
15,956,10.0,"[2, 30, 1]",0.185,0.133,0.434
16,17255,15.0,"[2, 20, 1]",0.037,0.028,0.136
17,31547,10.0,"[2, 30, 1]",0.482,0.370,0.982
18,4224,10.0,"[2, 20, 1]",0.026,0.019,0.093
19,4224,10.0,"[2, 30, 30, 1]",0.038,0.026,0.184
20,9878,15.0,"[2, 20, 20, 1]",0.420,0.325,0.952
21,31547,10.0,"[2, 30, 20, 1]",0.471,0.363,0.980
22,9878,15.0,"[2, 20, 1]",0.229,0.176,0.463
23,54636,20.0,"[2, 20, 20, 1]",0.480,0.368,0.984
24,4224,20.0,"[2, 30, 20, 1]",0.043,0.025,0.239
25,54636,10.0,"[2, 30, 20, 1]",0.481,0.372,0.982
26,956,20.0,"[2, 20, 20, 1]",0.165,0.120,0.339
27,17255,15.0,"[2, 30, 30, 1]",0.484,0.372,0.986
28,4224,20.0,"[2, 30, 1]",0.145,0.115,0.327
29,956,20.0,"[2, 30, 20, 1]",0.207,0.144,0.496
30,54636,20.0,"[2, 30, 30, 1]",0.016,0.012,0.059
31,17255,10.0,"[2, 30, 20, 1]",0.488,0.379,0.982
