,# of training points,neural net architecture,RMSE,mean absolute error,max absolute error
0,20038,"[2, 20, 20, 1]",0.042,0.036,0.083
1,9878,"[2, 20, 20, 1]",0.022,0.019,0.058
2,36597,"[2, 20, 20, 1]",0.047,0.041,0.130
3,956,"[2, 20, 20, 1]",0.072,0.065,0.133
4,4224,"[2, 20, 20, 1]",0.022,0.020,0.043
5,31547,"[2, 20, 20, 1]",0.014,0.011,0.046
6,54636,"[2, 20, 20, 1]",0.022,0.018,0.065
7,63173,"[2, 20, 20, 1]",0.122,0.105,0.392
8,1110,"[2, 20, 20, 1]",0.060,0.055,0.097
9,4888,"[2, 20, 20, 1]",0.039,0.034,0.081
10,17255,"[2, 20, 20, 1]",0.012,0.009,0.041
11,11250,"[2, 20, 20, 1]",0.020,0.017,0.053
